date,Mkt-RF,SMB,HML,RF,ge,ibm,mobil,CRSP
196901,-1.2,-0.8,1.57,0.53,-1.1984,-5.9524,-1.4043,-0.6714
196902,-5.82,-3.9,0.93,0.46,-6.0377,-0.7004,-7.8431,-5.3641
196903,2.59,-0.28,-0.45,0.46,6.6474,7.0303,21.513,3.0505
196904,1.52,-0.85,0.06,0.53,5.9621,4.4586,2.9961,2.0528
196905,0.02,-0.27,0.74,0.48,-3.5806,-2.5,2.6667,0.5038
196906,-7.25,-5.31,-1.15,0.51,-3.8196,5.8777,-12.987,-6.7388
196907,-7.05,-3.27,1.36,0.53,-4.3056,-3.923,-6.0981,-6.5173
196908,4.65,0.89,-3.83,0.5,-2.7576,6.6256,10.7798,5.1488
196909,-2.88,1.2,-3.24,0.62,2.2687,0.0725,-10.352,-2.259
196910,4.96,3.78,-3.19,0.6,-1.0294,4.4171,-4.4342,5.5647
196911,-3.74,-2.58,-1.15,0.52,-4.7548,-0.6935,-5.379,-3.2166
196912,-2.61,-3.65,-3.01,0.64,-2.4649,2.1008,-4.9096,-1.9683
197001,-7.93,2.91,3.03,0.6,-6.6129,-8.0247,-14.7283,-7.3252
197002,5.05,-2.44,3.92,0.62,-2.5907,1.8494,9.7087,5.6708
197003,-1.04,-2.39,4.15,0.57,5.5319,-0.5143,1.7699,-0.4729
197004,-11.03,-6.12,6.3,0.5,-3.3898,-11.9645,-3.5362,-10.5318
197005,-6.96,-4.51,3.51,0.53,-6.8421,-6.3087,7.3171,-6.4346
197006,-5.69,-2.13,0.82,0.58,2.6742,-10.0719,-0.5682,-5.1075
197007,6.9,-0.55,1.01,0.52,13.8889,1.38,8.2286,7.4191
197008,4.47,1.51,1.26,0.53,2.1138,5.55,6.4171,5.0047
197009,4.21,8.73,-5.62,0.54,8.3121,9.5775,4.2714,4.751
197010,-2.28,-4.23,0.22,0.46,1.9259,1.1825,4.2892,-1.8181
197011,4.58,-4.04,1.73,0.46,2.7616,4.5068,6.5421,5.045
197012,5.65,2.92,0.96,0.42,6.959,3.4174,0.8772,6.0713
197101,4.82,7.48,1.53,0.38,5.7257,2.439,-7.6522,5.203
197102,1.36,1.87,-1.38,0.33,8.9421,3.7788,3.8095,1.6899
197103,4.18,2.58,-4.01,0.3,4.185,6.2407,1.3761,4.4788
197104,3.05,-0.43,0.93,0.28,9.7098,0.0699,6.8326,3.3326
197105,-3.93,-1.08,-1.28,0.29,-2.4415,-8.232,-7.0664,-3.6386
197106,-0.06,-1.43,-2.14,0.37,1.9395,-3.0581,2.765,0.313
197107,-4.43,-1.48,0.01,0.4,-12.1399,-8.123,-5.5605,-4.027
197108,3.78,-0.14,2.66,0.47,16.1592,4.824,-5.7692,4.2502
197109,-0.87,0.45,-2.94,0.37,-0.2419,-0.0822,-0.7653,-0.5016
197110,-4.44,-1.77,-0.51,0.37,-5.2846,-1.07,2.365,-4.0671
197111,-0.5,-2.89,-1.67,0.37,2.5751,2.0965,1.5267,-0.1263
197112,8.76,3.37,-0.26,0.37,5.3975,10.1473,9.5238,9.1268
197201,2.55,6.1,2.13,0.29,-0.998,9.3611,-1.373,2.8385
197202,2.88,1.37,-2.84,0.25,-2.2177,0.5027,3.0626,3.1338
197203,0.6,-0.28,-1.68,0.27,7.1753,3.7313,-6.3781,0.8728
